ID_REDE,CD_OPERADORA,NO_RAZAO,GR_MODALIDADE,DE_PORTE,ID_PLANO,CD_PLANO,TP_VIGENCIA_PLANO,CONTRATACAO,DE_TIPO_CONTRATACAO,DE_TIPO_MODALIDADE_FINM,SEGMENTACAO_ASSISTENCIAL,DE_TIPO_ABRANGENCIA_GEOGRAFICA,LG_FATOR_MODERADOR,DE_SITUACAO_PRINCIPAL,CD_SITUACAO_PLANO,ID_ESTABELECIMENTO_SAUDE,CD_CNPJ_ESTB_SAUDE,CD_CNES,NM_ESTABELECIMENTO_SAUDE,DE_CLAS_ESTB_SAUDE,LG_URGENCIA_EMERGENCIA,DE_TIPO_PRESTADOR,DE_TIPO_CONTRATO,DE_DISPONIBILIDADE,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,DT_VINCULO_INICIO,DT_VINCULO_FIM,NM_REGIAO,DT_ATUALIZACAO
18324313 248096380,000477,SUL AMERICA SEGURADORA DE SAUDE S.A.,Seguradora,SEM BENEFICIARIOS,18324313,487458207,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,248096380,01817749000199,7870930,HOSPITAL NOSSA SENHORA DAS NEVES S A,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2020-11-17,,NORDESTE,2024-07-24
1335960 10516681,000477,SUL AMERICA SEGURADORA DE SAUDE S.A.,Seguradora,SEM BENEFICIARIOS,1335960,401390985,P,INDIVIDUAL,INDIVIDUAL OU FAMILIAR,PREESTABELECIDO,Amb + hosp c/ obst,GRUPO DE MUNICIPIOS,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,10516681,57611956000147,,HOSP. SANTO ANDRE,Assistencia Hospitalar,0,Contratualizado,Direto,Parcial,251385,SANTO ANDRE,PB,1999-05-11,2023-09-01,NORDESTE,2024-07-24
1335931 10516681,000477,SUL AMERICA SEGURADORA DE SAUDE S.A.,Seguradora,SEM BENEFICIARIOS,1335931,401404989,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,GRUPO DE MUNICIPIOS,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,10516681,57611956000147,,HOSP. SANTO ANDRE,Assistencia Hospitalar,0,Contratualizado,Direto,Parcial,251385,SANTO ANDRE,PB,1999-05-11,2023-09-01,NORDESTE,2024-07-24
18324145 248096381,000477,SUL AMERICA SEGURADORA DE SAUDE S.A.,Seguradora,SEM BENEFICIARIOS,18324145,487450201,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,248096381,09129222000183,2400065,HOSPITAL SAMARITANO LTDA,Assistencia Hospitalar,1,Contratualizado,Indireto,Parcial,250750,JOAO PESSOA,PB,2020-11-17,2023-12-26,NORDESTE,2024-07-24
16791001 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16791001,479122173,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
16790920 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,16790920,479118175,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-09-26,,NORDESTE,2024-07-24
17515902 227380930,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515902,479582172,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380930,41210014000117,3148815,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA  EPP,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17507051 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17507051,479573173,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
17512586 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17512586,479578174,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,0,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
1331890 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331890,433376004,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331882 5976590,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331882,433380002,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976590,70100912000110,3127168,CLIN DE FRATURAS DE CAMPINA GRANDE,Assistencia Hospitalar,0,Contratualizado,Direto,Nao inform,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
1331896 5976591,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,1331896,433373000,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,5976591,08846255000181,3006204,CLINICA SANTA CLARA LTDA,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2000-08-23,,NORDESTE,2024-07-24
17515902 227380791,000515,ALLIANZ SAUDE S A,Seguradora,SEM BENEFICIARIOS,17515902,479582172,P,COLETIVO,COLETIVO EMPRESARIAL,PREESTABELECIDO,Amb + hosp c/ obst,NACIONAL,1,ATIVO COM COMERCIALIZACAO SUSPENSA,26.0,227380791,07678950000119,2613743,SISTEMA DE ASSISTENCIA SOCIAL E DE SAUDE  SAS,Assistencia Hospitalar,0,Contratualizado,Indireto,Parcial,250400,CAMPINA GRANDE,PB,2017-12-22,,NORDESTE,2024-07-24
