"nome","total","decade"
"Michael","92709","1950"
"Michael","90633","1950"
"Michael","90519","1950"
"Michael","86916","1960"
"David","85931","1960"
"Michael","85227","1960"
"Michael","85321","1970"
"Michael","77611","1970"
"Michael","71426","1970"
"Michael","68752","1980"
"Michael","68666","1980"
"Michael","68204","1980"
"Michael","65274","1990"
"Michael","60781","1990"
"Michael","54377","1990"
"Jacob","34465","2000"
"Jacob","32527","2000"
"Michael","32025","2000"
"Isabella","22883","2010"
"Sophia","22267","2010"
"Jacob","22082","2010"
